id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
4213	144115	144135	Floyd Grandon's Honor		FIC	1883	Passive	Pronoun	Pronoun	To	AccDat
744744	1740	1770	EDSONS'S SINGULAR CHOICE HIS PRIVATE SECRETARY MADE THE CONTROLLER.; HIS PRIVATE SECRETARY MADE THE CONTROLLER		NEWS	1883	Passive	Pronoun	Noun	NoTo	DatAcc
594236	4657	4681	General Sherman	E. V. Smalley	MAG	1884	Passive	Pronoun	Noun	NoTo	DatAcc
594236	5679	5703	General Sherman	E. V. Smalley	MAG	1884	Passive	Pronoun	Noun	NoTo	DatAcc
748750	65076	65091	James Nasmyth: Engineer; an autobiography	"Nasmyth, James, 1808-1890"	NF	1884	Passive	Pronoun	Noun	NoTo	DatAcc
748750	73196	73220	James Nasmyth: Engineer; an autobiography	"Nasmyth, James, 1808-1890"	NF	1884	Passive	Pronoun	Noun	NoTo	DatAcc
771020	43270	43306	Tea Leaves Being a Collection of Letters and Documents relating to the shipment of Tea to the 	"Drake, Francis S. (Francis Samuel), 1828-1885"	NF	1884	Passive	Pronoun	Noun	NoTo	DatAcc
3307	61746	61784	Queer Stories for Boys and Girls		FIC	1884	Passive	Pronoun	Noun	NoTo	DatAcc
988	9613	9636	The Register		FIC	1884	Passive	Pronoun	Pronoun	NoTo	AccDat
594932	761	775	General Grant	General Adam Badeau	MAG	1885	Passive	Pronoun	Noun	NoTo	DatAcc
595080	8177	8201	The Silent South	G. W. Cable	MAG	1885	Passive	NA	NA	NA	NA
1182	26335	26353	"Lessons in Life, for All Who Will Read Them"		FIC	1885	Passive	NA	NA	NA	NA
745610	853	899	AFFAIRS AT WASHINGTON; THE COMING FIGHT AGAINST MR. RANDALL. EFFORTS TO MAKE IT A PERSONAL MATTER --A CUSTOM HOUSE ABUSE--PROPOSED REVENUE LAW CHANGES		NEWS	1885	Passive	NA	NA	NA	NA
1843	2650	2659	A Daughter of Fife		FIC	1886	Passive	Pronoun	Noun	NoTo	DatAcc
9401	13063	13075	Baron Rudolph		FIC	1886	Passive	Pronoun	Noun	NoTo	DatAcc
571369	603	628	Progress and Poverty in Politics	Prof. H. W. Farnam	MAG	1887	Passive	Pronoun	Noun	NoTo	DatAcc
771410	76293	76307	"A History of Art for Beginners and Students Painting, Sculpture, Architecture"	"Waters, Clara Erskine Clement, 1834-1916"	NF	1887	Passive	Pronoun	Noun	NoTo	DatAcc
772581	63942	63952	"Autobiography of Frank G. Allen, Minister of the Gospel and Selections from his Writings"	"Graham, Robert, 1822-1901"	NF	1887	Passive	NA	NA	NA	NA
772581	65170	65194	"Autobiography of Frank G. Allen, Minister of the Gospel and Selections from his Writings"	"Graham, Robert, 1822-1901"	NF	1887	Passive	Pronoun	Pronoun	NoTo	AccDat
514984	8842	8869	The State of Iowa	Mr. Justice Miller	MAG	1889	Passive	NA	NA	NA	NA
596784	8271	8299	A Century of Constitutional Interpretation	John Bach McMaster	MAG	1889	Passive	NA	NA	NA	NA
597072	5599	5616	A History of Abraham Lincoln	J. G. Nicolay	MAG	1889	Passive	NA	NA	NA	NA
770521	47015	47022	"The Arena Volume 4, No. 23, October, 1891"	"Flower, B. O. (Benjamin Orange), 1858-1918"	NF	1889	Passive	NA	NA	NA	NA
4158	61281	61293	The Right Knock A Story	"Van-Anderson, Helen, 1859-"	FIC	1889	Passive	NA	NA	NA	NA
829	62768	62778	Little Journey in the World		FIC	1889	Passive	Noun	Noun	NoTo	DatAcc
515518	10118	10139	Stonewall Jackson	"Rev. Henry M. Field, D.D."	MAG	1891	Passive	Noun	Pronoun	To	AccDat
771303	66104	66117	The Science of Fairy Tales An Inquiry into Fairy Mythology	"Hartland, Edwin Sidney, 1848-1927"	NF	1891	Passive	Pronoun	Noun	NoTo	DatAcc
2954	39277	39312	Elsie's Vacation and After Events		FIC	1891	Passive	Pronoun	Pronoun	NoTo	AccDat
5832	117219	117225	The Quality of Mercy		FIC	1891	Passive	NA	NA	NA	NA
672778	717	735	CECILS WELL TO THE FORE; THE UNCLE AND HIS NEPHEW TO LEAD THE TWO HOUSES. PARNELL'S REMNANT AS FIGHTERS -- THE CONTEST IN CORK -- MONEY RUSSIA WILL SP		NEWS	1891	Passive	Pronoun	Noun	NoTo	DatAcc
585122	11142	11162	Washington Allston. I. Some Unpublished Correspondence Of		MAG	1892	Passive	Pronoun	Pronoun	NoTo	AccDat
673043	199	215	HAILED AS KING AND POPE; SCHROEDER'S RALLYING CRY TO GERMAN CATHOLICS. HIS VEHEMENT SPEECH PROTESTING THAT THE VATICAN'S TEMPORAL POWER NEED NOT BE YI		NEWS	1892	Passive	NA	NA	NA	NA
9342	1088	1125	The Main Line		FIC	1893	Passive	NA	NA	NA	NA
497589	451	470	McClellan and his 'Mission'	Maj-Gen. James B. Fry	MAG	1894	Passive	NA	NA	NA	NA
117	42055	42066	The Burial of the Guns		FIC	1894	Passive	Pronoun	Noun	NoTo	DatAcc
3809	70831	70848	Peak and Prairie From a Colorado Sketch-book		FIC	1894	Passive	Pronoun	Noun	NoTo	DatAcc
769393	40028	40042	The Book-Hunter in London Historical and Other Studies of Collectors and Collecting	"Roberts, W. (William), 1862-1940"	NF	1895	Passive	Noun	Pronoun	To	AccDat
3058	101	132	Violets and Other Tales		FIC	1895	Passive	Noun	Noun	NoTo	AccDat
674035	32	61	Editorial Article 1 -- No Title		NEWS	1895	Passive	NA	NA	NA	NA
770711	1408	1440	"The Physical Life of Woman: Advice to the Maiden, Wife and Mother"	"Napheys, George H. (George Henry), 1842-1876"	NF	1896	Passive	NA	NA	NA	NA
863	14102	14139	Marm Lisa	"Wiggin, Kate Douglas Smith, 1856-1923"	FIC	1896	Passive	Pronoun	Noun	NoTo	DatAcc
674351	359	377	"POLICIES, NOT MEN, TALKED OF.; Major McKinley Receives Many Party Leaders"		NEWS	1896	Passive	Pronoun	Noun	To	AccDat
5755	13825	13849	The Man Who Wins		FIC	1897	Passive	Pronoun	Noun	NoTo	DatAcc
647	59896	59919	Autobiography of a Pocket-Handkerchief		FIC	1897	Passive	NA	NA	NA	NA
552291	5006	5013	William Pitt Fessenden	Richard Webb	MAG	1898	Passive	Pronoun	Noun	NoTo	DatAcc
674750	400	426	MEDIATION		NEWS	1898	Passive	NA	NA	NA	NA
563459	1411	1427	The Restless Energy of the American People - an Impression	Ian Maclaren	MAG	1899	Passive	Pronoun	Noun	NoTo	DatAcc
592163	4621	4649	The Outlook in Cuba	Herbert Pelham Williams	MAG	1899	Passive	NA	NA	NA	NA
4674	123661	123674	In Connection with the De Willoughby Claim	"Burnett, Frances Hodgson, 1849-1924"	FIC	1899	Passive	NA	NA	NA	NA
