Verb	id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order	IOAnim	DOAnim	IODef	DODef	LengthDiff	IONum	DONum
offer	9757	9926	9997	The Novels . . 		FIC	1827	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	0	Singular	Singular
offer	7200	5425	5466	Kavanagh		FIC	1849	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	6	Singular	Singular
offer	747959	55519	55538	St. Pierre's Studies of nature	Bernardin de Saint-Pierre	NF	1836	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	1	Singular	Plural
offer	528955	491	574	How my New Acquaintances Spin	Dr. B. G. Wilder	MAG	1866	Passive	Noun	Noun	To	DatAcc	Animate	Inanimate	Definite	Indefinite	-1	Singular	Singular
offer	552906	5677	5729	Ogilvie's Essays		MAG	1817	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	16	Singular	Singular
offer	7017	87907	87936	"The Infidel; or, the Fall of Mexico, Volume 2"		FIC	1835	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	13	Singular	Singular
offer	565252	7489	7522	Political State of Norway		MAG	1843	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	0	Singular	Singular
offer	747509	54782	54822	"Progressive education, commencing with the infant"	"Albertine-Adrienne Necker de Saussure;  Emma Willard;  Lincoln Phelps, Mrs"	NF	1835	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
offer	529720	2614	2675	The Pacific Railroad - open.  I	Samuel Bowles	MAG	1869	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Definite	0	Plural	Plural
offer	7012	117254	117284	"Calavar; or, The Knight of the Conquest. A Romance of Mexico, Volume 1"		FIC	1834	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	13	Singular	Singular
