old_id	id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
24200	14372	16386	16399	The Frisky Mrs. Johnson	"Fitch, Clyde, 1865-1909"	FIC	1903	Active	Pronoun	Pronoun	NoTo	AccDat
57070	53799	2715	2729	Fur	"Louis, Laura Glen"	FIC	1993	Active	Noun	Pronoun	To	AccDat
55389	10739	10562	10588	Whirlwind		FIC	1986	Active	Noun	Pronoun	To	AccDat
24995	4837	16516	16531	The Wizard's Daughter and Other Stories		FIC	1905	Active	Pronoun	Pronoun	To	AccDat
47568	10416	57993	58014	Zebra-Striped Hearse		FIC	1962	Active	Pronoun	Pronoun	To	AccDat
47566	10416	56318	56332	Zebra-Striped Hearse		FIC	1962	Active	Pronoun	Pronoun	To	AccDat
283	8340	16935	16945	Poems		FIC	1821	Active	Pronoun	Pronoun	NoTo	AccDat
38886	780131	37227	37240	The Story of a Lake	Negley Farson	FIC	1939	Active	Pronoun	Pronoun	To	AccDat
45217	16526	3639	3650	While the City Sleeps		FIC	1956	Active	Noun	Pronoun	To	AccDat
40999	10199	56037	56056	Forest of the South		FIC	1945	Active	Pronoun	Pronoun	To	AccDat
48961	10494	163267	163278	Arrangement		FIC	1967	Active	Noun	Pronoun	To	AccDat
345	7244	57114	57135	"Logan: A Family History, Volume 2"		FIC	1822	Active	Pronoun	Pronoun	To	AccDat
60649	26756	295	308	Millions /	"Cottrell Boyce, Frank. "	FIC	2005	Active	Noun	Pronoun	To	AccDat
60641	28352	764	776	Loaded dice : Tony Valentine novel /	"Swain, James. "	FIC	2005	Active	Noun	Pronoun	To	AccDat
53281	780047	17951	17961	The Cradle Will Fall	Mary Higgins Clark	FIC	1980	Active	Noun	Pronoun	To	AccDat
53280	780047	8816	8832	The Cradle Will Fall	Mary Higgins Clark	FIC	1980	Active	Pronoun	Pronoun	To	AccDat
54771	490894	16604	16617	Annals of Discourse	"Trow, George W. S."	MAG	1984	Active	Noun	Pronoun	To	AccDat
54775	14568	3171	3198	Another Paradise	"Spector, Donna, fl. 2002"	FIC	1984	Active	Noun	Pronoun	To	AccDat
32794	457135	2737	2748	A week-end with Chinese bandits	Lucy Truman Aldrich	MAG	1923	Active	Pronoun	Pronoun	To	AccDat
23878	1232	52194	52200	Observations By Mr. Dooley		FIC	1902	Active	Pronoun	Pronoun	To	AccDat
56042	10784	43738	43748	My Secret History		FIC	1989	Active	Noun	Pronoun	To	AccDat
36232	10023	32368	32380	Store	T.S. Stribling	FIC	1932	Active	Pronoun	Pronoun	To	AccDat
57315	25006	24925	24934	Xanadu	ed. Jane Yolen	FIC	1993	Active	Noun	Pronoun	To	AccDat
