"","Text","Lat","Long","Location","Dialect","Genre","YoC","YoM","AuthName","AuthBD","AuthSex","AuthAge","RecName","RecBD","RecSex","RecAge","RecRelation","Words","OCWords","NamWords","ForWords","Types","OCTypes","NamTypes","ForTypes","Chars","OCChars","NamChars","ForChars","Tokens","pseud","pass","act","relative","questions","selected","advantage"
"490527","CHAMBER_059","x","x","x","x","l",1619,1619,"John_Chamberlain","1554","m","65","Dudley_Carleton","1573","m","46","FRIEND",1223,308,68,2,476,239,55,2,8993,1882,426,10,39,"b","nan","act","nie","qnie","selact","not"
"490531","CHAMBER_059","x","x","x","x","l",1619,1619,"John_Chamberlain","1554","m","65","Dudley_Carleton","1573","m","46","FRIEND",1223,308,68,2,476,239,55,2,8993,1882,426,10,39,"b","nan","act","nie","qnie","selact","not"
"490616","CHAMBER_059","x","x","x","x","l",1619,1619,"John_Chamberlain","1554","m","65","Dudley_Carleton","1573","m","46","FRIEND",1223,308,68,2,476,239,55,2,8993,1882,426,10,39,"b","nan","act","nie","qnie","selact","not"
"490639","CHAMBER_059","x","x","x","x","l",1619,1619,"John_Chamberlain","1554","m","65","Dudley_Carleton","1573","m","46","FRIEND",1223,308,68,2,476,239,55,2,8993,1882,426,10,39,"b","nan","act","nie","qnie","selact","not"
"490663","CHAMBER_060","x","x","x","x","l",1620,1620,"John_Chamberlain","1554","m","66","Dudley_Carleton","1573","m","47","FRIEND",1273,314,76,0,464,242,55,0,10103,1876,485,0,50,"p","van","nan","nie","qnie","selpse","not"
"490761","CHAMBER_060","x","x","x","x","l",1620,1620,"John_Chamberlain","1554","m","66","Dudley_Carleton","1573","m","47","FRIEND",1273,314,76,0,464,242,55,0,10103,1876,485,0,50,"p","van","nan","nie","qnie","selpse","not"
"491634","CHAMBER_067","x","x","x","x","l",1623,1623,"John_Chamberlain","1554","m","69","Dudley_Carleton","1573","m","50","FRIEND",1755,470,143,2,595,319,95,2,13221,2699,873,5,62,"p","van","nan","nie","qnie","selpse","not"
"491861","CHAMBER_069","x","x","x","x","l",1624,1624,"John_Chamberlain","1554","m","70","Dudley_Carleton","1573","m","51","FRIEND",1603,421,58,16,594,315,52,14,12335,2553,374,87,58,"b","nan","act","nie","qnie","selact","not"
"492074","CHAMBER_070","x","x","x","x","l",1624,1624,"John_Chamberlain","1554","m","70","Dudley_Carleton","1573","m","51","FRIEND",909,230,62,3,375,185,47,3,7774,1304,420,17,42,"p","van","nan","nie","qnie","selpse","not"
"492105","CHAMBER_070","x","x","x","x","l",1624,1624,"John_Chamberlain","1554","m","70","Dudley_Carleton","1573","m","51","FRIEND",909,230,62,3,375,185,47,3,7774,1304,420,17,42,"p","van","nan","nie","qnie","selpse","not"
"492930","CLERK_006","x","x","x","x","L",1589,1589,"Garratt_Swift","_","m","_","Peter_Stonor","_","m","_","x",360,87,19,0,172,74,13,0,2422,490,127,0,14,"b","nan","act","nie","qnie","selact","not"
"494119","CLIFFO_024","x","x","x","x","l",1526,1526,"Thomas_Clifford","1493","m","33","Henry_Clifford_Ii","1493","m","33","BROTHER",518,124,26,0,211,93,24,0,4694,743,167,0,24,"p","van","nan","nie","qnie","selpse","not"
"494335","CLIFFO_030","x","x","x","x","l",1532,1532,"Thomas_Clifford","1493","m","39","Henry_Clifford_Ii","1493","m","39","BROTHER",303,81,31,0,159,67,31,0,2520,403,215,0,12,"b","nan","act","nie","qnie","selact","not"
"495767","CLIFFO_070","x","x","x","x","L",1530,1530,"Christopher_Crackenthorpe","_","m","_","Henry_Clifford_Ii","1493","m","_","x",647,141,40,8,253,121,32,2,5130,770,261,33,29,"b","nan","act","nie","qnie","selact","not"
"497118","CONWAY_012","x","x","x","x","l",1651,1651,"John_Finch","1626","m","25","Anne_Conway[n.finch]","1631","f","20","SISTER",1890,470,41,2,594,323,38,2,14836,2768,233,9,68,"b","nan","act","nie","qnie","selact","not"
"497151","CONWAY_012","x","x","x","x","l",1651,1651,"John_Finch","1626","m","25","Anne_Conway[n.finch]","1631","f","20","SISTER",1890,470,41,2,594,323,38,2,14836,2768,233,9,68,"b","nan","act","nie","qnie","selact","not"
"498435","CONWAY_025","x","x","x","x","l",1658,1658,"Henry_More","1614","m","44","Anne_Conway[n.finch]","1631","f","27","FRIEND",341,68,18,0,160,60,18,0,3121,446,106,0,18,"b","nan","act","nie","qnie","selact","not"
"498568","CONWAY_028","x","x","x","x","l",1658,1658,"Edward_Conway_Jr","1623","m","35","George_Rawdon","_","m","_","BROTHER_IN_LAW",823,198,50,0,314,153,34,0,7090,1162,272,0,34,"b","nan","act","nie","qnie","selact","not"
"498828","CONWAY_031","x","x","x","x","l",1659,1659,"Anne_Conway[n.finch]","1631","f","28","Edward_Conway_Jr","1623","m","36","HUSBAND",965,223,25,0,316,161,21,0,8642,1194,138,0,46,"p","van","nan","nie","qnie","selpse","not"
"499053","CONWAY_033","x","x","x","x","l",1659,1659,"Edward_Conway_Jr","1623","m","36","George_Rawdon","_","m","_","BROTHER_IN_LAW",763,183,53,0,326,148,40,0,7230,1034,301,0,37,"b","nan","act","nie","qnie","selact","not"
"499355","CONWAY_038","x","x","x","x","l",1661,1661,"John_Finch","1626","m","35","Edward_Conway_Jr","1623","m","38","BROTHER_IN_LAW",986,277,39,0,360,186,33,0,8270,1686,231,0,36,"b","nan","act","nie","qnie","selact","not"
"499412","CONWAY_039","x","x","x","x","l",1661,1661,"Henry_More","1614","m","47","Anne_Conway[n.finch]","1631","f","30","FRIEND",782,177,40,0,290,135,28,0,6555,1079,209,0,36,"b","nan","act","nie","qnie","selact","not"
"499644","CONWAY_041","x","x","x","x","l",1661,1661,"Henry_More","1614","m","47","Anne_Conway[n.finch]","1631","f","30","FRIEND",807,181,36,0,292,136,27,0,7143,1090,215,0,41,"b","nan","act","nie","qnie","selact","not"
"500557","CONWAY_051","x","x","x","x","l",1663,1663,"Anne_Conway[n.finch]","1631","f","32","Edward_Conway_Jr","1623","m","40","HUSBAND",1259,280,40,0,377,189,24,0,9634,1500,192,0,45,"b","nan","act","nie","qnie","selact","not"
"500933","CONWAY_056","x","x","x","x","l",1664,1664,"Henry_More","1614","m","50","Anne_Conway[n.finch]","1631","f","33","FRIEND",390,88,24,1,194,78,20,1,3165,544,149,8,16,"p","van","nan","nie","qnie","selpse","not"
"501264","CONWAY_059","x","x","x","x","l",1664,1664,"Anne_Conway[n.finch]","1631","f","33","Edward_Conway_Jr","1623","m","41","HUSBAND",1013,235,43,4,345,175,32,2,8687,1324,224,20,44,"b","nan","act","nie","qnie","selact","not"
