"","Text","Lat","Long","Location","Dialect","Genre","YoC","YoM","AuthName","AuthBD","AuthSex","AuthAge","RecName","RecBD","RecSex","RecAge","RecRelation","Words","OCWords","NamWords","ForWords","Types","OCTypes","NamTypes","ForTypes","Chars","OCChars","NamChars","ForChars","Tokens","pseud","pass","act","relative","questions","selected","advantage"
"194106","AUTHOLD","x","x","x","x","Y",1611,1611,"Old_Auth","1540","m","71","x","xxxx","x","xx","x",33238,10057,2271,0,2453,1644,394,0,130204,51518,11614,0,3329,"b","nan","act","nie","qnie","selact","not"
"194110","AUTHOLD","x","x","x","x","Y",1611,1611,"Old_Auth","1540","m","71","x","xxxx","x","xx","x",33238,10057,2271,0,2453,1644,394,0,130204,51518,11614,0,3329,"b","nan","act","nie","qnie","selact","not"
"194165","AUTHOLD","x","x","x","x","Y",1611,1611,"Old_Auth","1540","m","71","x","xxxx","x","xx","x",33238,10057,2271,0,2453,1644,394,0,130204,51518,11614,0,3329,"b","nan","act","nie","qnie","selact","not"
"194841","AUTHOLD","x","x","x","x","Y",1611,1611,"Old_Auth","1540","m","71","x","xxxx","x","xx","x",33238,10057,2271,0,2453,1644,394,0,130204,51518,11614,0,3329,"b","nan","act","nie","qnie","selact","not"
"195659","BEHN","x","x","x","x","F",1668,1688,"Aphra_Behn","1640","f","28","x","xxxx","x","xx","x",17763,5145,248,5,2619,1825,41,4,72021,29614,1661,24,675,"b","nan","act","nie","qnie","selact","not"
"196026","BEHN","x","x","x","x","F",1668,1688,"Aphra_Behn","1640","f","28","x","xxxx","x","xx","x",17763,5145,248,5,2619,1825,41,4,72021,29614,1661,24,675,"b","nan","act","nie","qnie","selact","not"
"196057","BEHN","x","x","x","x","F",1668,1688,"Aphra_Behn","1640","f","28","x","xxxx","x","xx","x",17763,5145,248,5,2619,1825,41,4,72021,29614,1661,24,675,"b","nan","act","pie","qnie","selact","not"
"196264","BEHN","x","x","x","x","F",1668,1688,"Aphra_Behn","1640","f","28","x","xxxx","x","xx","x",17763,5145,248,5,2619,1825,41,4,72021,29614,1661,24,675,"b","nan","act","nie","qnie","selact","not"
"196316","BEHN","x","x","x","x","F",1668,1688,"Aphra_Behn","1640","f","28","x","xxxx","x","xx","x",17763,5145,248,5,2619,1825,41,4,72021,29614,1661,24,675,"b","nan","act","nie","qnie","selact","not"
"196649","BLUNDEV","x","x","x","x","C",1597,1597,"Thomas_Blundeville","1522","m","75","x","xxxx","x","xx","x",21384,6904,360,116,1896,1176,89,51,92001,40732,2329,660,827,"b","nan","act","nie","qnie","selact","not"
"197580","BOETHCO","x","x","x","x","P",1556,1556,"George_Colville","xxxx","m","xx","x","xxxx","x","xx","x",33681,9708,634,4,4270,2876,111,2,142281,59967,3265,27,1627,"p","van","nan","nie","qnie","selpse","not"
"197940","BOETHCO","x","x","x","x","P",1556,1556,"George_Colville","xxxx","m","xx","x","xxxx","x","xx","x",33681,9708,634,4,4270,2876,111,2,142281,59967,3265,27,1627,"p","van","nan","nie","qnie","selpse","not"
"199168","BOETHEL","x","x","x","x","Z",1593,1593,"Elizabeth_Tudor","1533","f","60","x","xxxx","x","xx","x",23182,6987,147,0,3431,2332,65,0,94048,39906,835,0,1417,"b","nan","act","nie","qnie","selact","not"
"200713","BOETHPR","x","x","x","x","P",1695,1695,"Richard_Graham","1648","m","47","x","xxxx","x","xx","x",30787,8486,455,32,3525,2354,73,4,128808,51242,1896,156,1505,"p","van","nan","nie","qnie","selpse","not"
"200718","BOETHPR","x","x","x","x","P",1695,1695,"Richard_Graham","1648","m","47","x","xxxx","x","xx","x",30787,8486,455,32,3525,2354,73,4,128808,51242,1896,156,1505,"p","van","nan","nie","qnie","selpse","not"
"200730","BOETHPR","x","x","x","x","P",1695,1695,"Richard_Graham","1648","m","47","x","xxxx","x","xx","x",30787,8486,455,32,3525,2354,73,4,128808,51242,1896,156,1505,"p","van","nan","nie","qnie","selpse","not"
"202006","BOYLE","x","x","x","x","C",1675,1676,"Robert_Boyle","1627","m","48","x","xxxx","x","xx","x",10015,2821,26,46,1740,1029,21,26,43410,17458,189,286,211,"b","nan","act","nie","qnie","selact","not"
"202159","BOYLE","x","x","x","x","C",1675,1676,"Robert_Boyle","1627","m","48","x","xxxx","x","xx","x",10015,2821,26,46,1740,1029,21,26,43410,17458,189,286,211,"b","nan","act","nie","qnie","selact","not"
"202400","BOYLE","x","x","x","x","C",1675,1676,"Robert_Boyle","1627","m","48","x","xxxx","x","xx","x",10015,2821,26,46,1740,1029,21,26,43410,17458,189,286,211,"b","nan","act","nie","qnie","selact","not"
"202699","BRINSLEY","x","x","x","x","E",1627,1627,"John_Brinsley","1585","m","42","x","xxxx","x","xx","x",18002,5347,175,66,2026,1344,31,55,73552,30528,999,377,667,"b","nan","act","nie","qnie","selact","not"
"203486","BURNETCHA","x","x","x","x","I",1683,1724,"Gilbert_Burnet","1643","m","40","x","xxxx","x","xx","x",18394,4956,752,0,2471,1553,264,0,74784,28597,4973,0,989,"p","van","nan","nie","qnie","selpse","not"
"203788","BURNETCHA","x","x","x","x","I",1683,1724,"Gilbert_Burnet","1643","m","40","x","xxxx","x","xx","x",18394,4956,752,0,2471,1553,264,0,74784,28597,4973,0,989,"p","van","nan","nie","qnie","selpse","not"
"204504","BURNETROC","x","x","x","x","B",1680,1680,"Gilbert_Burnet","1643","m","37","x","xxxx","x","xx","x",19852,5474,270,8,2728,1872,113,8,81968,33585,1576,49,677,"b","nan","act","nie","qnie","selact","not"
"204818","BURNETROC","x","x","x","x","B",1680,1680,"Gilbert_Burnet","1643","m","37","x","xxxx","x","xx","x",19852,5474,270,8,2728,1872,113,8,81968,33585,1576,49,677,"b","nan","act","nie","qnie","selact","not"
"205086","BURNETROC","x","x","x","x","B",1680,1680,"Gilbert_Burnet","1643","m","37","x","xxxx","x","xx","x",19852,5474,270,8,2728,1872,113,8,81968,33585,1576,49,677,"b","nan","act","nie","qnie","selact","not"
"206380","CONWAY","x","x","x","x","L",1623,1623,"Edward_Conway","1569","m","54","George_Villers","1592","m","31","dist_eql",745,233,20,0,336,182,15,0,3340,1535,141,0,24,"b","nan","act","nie","qnie","selact","not"
"206545","COVERTE","x","x","x","x","T",1612,1612,"Robert_Coverte","xxxx","m","xx","x","xxxx","x","xx","x",18849,6489,667,33,2812,1857,336,22,78251,35524,4450,191,981,"b","nan","act","nie","qnie","selact","not"
"207218","COVERTE","x","x","x","x","T",1612,1612,"Robert_Coverte","xxxx","m","xx","x","xxxx","x","xx","x",18849,6489,667,33,2812,1857,336,22,78251,35524,4450,191,981,"b","nan","act","nie","qnie","selact","not"
"208008","DELONEY","x","x","x","x","F",1597,1619,"Thomas_Deloney","1543","m","54","x","xxxx","x","xx","x",24278,7813,677,1,3509,2419,205,1,98613,42546,4179,11,1363,"b","nan","act","nie","qnie","selact","not"
"209013","EDWARD","x","x","x","x","D",1551,1552,"Edward_Tudor","1537","m","14","x","xxxx","x","xx","x",20162,6096,2127,88,3799,2151,923,48,88174,33555,13791,426,1364,"b","nan","act","nie","qnie","selact","not"
"209185","EDWARD","x","x","x","x","D",1551,1552,"Edward_Tudor","1537","m","14","x","xxxx","x","xx","x",20162,6096,2127,88,3799,2151,923,48,88174,33555,13791,426,1364,"b","nan","act","nie","qnie","selact","not"
"209236","EDWARD","x","x","x","x","D",1551,1552,"Edward_Tudor","1537","m","14","x","xxxx","x","xx","x",20162,6096,2127,88,3799,2151,923,48,88174,33555,13791,426,1364,"b","nan","act","nie","qnie","selact","not"
"209261","EDWARD","x","x","x","x","D",1551,1552,"Edward_Tudor","1537","m","14","x","xxxx","x","xx","x",20162,6096,2127,88,3799,2151,923,48,88174,33555,13791,426,1364,"p","van","nan","nie","qnie","selpse","not"
"209312","EDWARD","x","x","x","x","D",1551,1552,"Edward_Tudor","1537","m","14","x","xxxx","x","xx","x",20162,6096,2127,88,3799,2151,923,48,88174,33555,13791,426,1364,"b","nan","act","nie","qnie","selact","not"
"209840","ELIZ1590","x","x","x","x","L",1590,1590,"Elizabeth_Tudor","1533","f","57","x","xxxx","x","xx","dist_eql",1894,552,25,5,692,421,19,4,8492,3730,169,29,45,"b","nan","act","nie","qnie","selact","not"
"210918","EOXINDEN1660","x","x","x","x","l",1664,1667,"Elizabet_Oxinden","1638","f","26","Kathrine_Oxinden","1620","f","44","mother-in-law",2516,676,123,4,718,402,71,4,9587,3656,649,8,172,"b","nan","act","nie","qnie","selact","not"
"211007","EOXINDEN1660","x","x","x","x","l",1664,1667,"Elizabet_Oxinden","1638","f","26","Kathrine_Oxinden","1620","f","44","mother-in-law",2516,676,123,4,718,402,71,4,9587,3656,649,8,172,"p","van","nan","nie","qnie","selpse","not"
"211200","ESSEX","x","x","x","x","t",1600,1600,"x","xxxx","x","xx","x","xxxx","x","xx","x",9557,2803,557,19,1954,1214,192,14,40744,16814,3151,104,483,"b","nan","act","nie","qnie","selact","not"
"211233","ESSEX","x","x","x","x","t",1600,1600,"x","xxxx","x","xx","x","xxxx","x","xx","x",9557,2803,557,19,1954,1214,192,14,40744,16814,3151,104,483,"p","van","nan","nie","qnie","selpse","not"
"211652","ESSEX","x","x","x","x","t",1600,1600,"x","xxxx","x","xx","x","xxxx","x","xx","x",9557,2803,557,19,1954,1214,192,14,40744,16814,3151,104,483,"p","van","nan","nie","qnie","selpse","not"
"211716","ESSEX","x","x","x","x","t",1600,1600,"x","xxxx","x","xx","x","xxxx","x","xx","x",9557,2803,557,19,1954,1214,192,14,40744,16814,3151,104,483,"p","van","nan","nie","qnie","selpse","not"
"211867","ESSEX","x","x","x","x","t",1600,1600,"x","xxxx","x","xx","x","xxxx","x","xx","x",9557,2803,557,19,1954,1214,192,14,40744,16814,3151,104,483,"b","nan","act","nie","qnie","selact","not"
"211968","ESSEX","x","x","x","x","t",1600,1600,"x","xxxx","x","xx","x","xxxx","x","xx","x",9557,2803,557,19,1954,1214,192,14,40744,16814,3151,104,483,"p","van","nan","nie","qnie","selpse","not"
"212035","ESSEX","x","x","x","x","t",1600,1600,"x","xxxx","x","xx","x","xxxx","x","xx","x",9557,2803,557,19,1954,1214,192,14,40744,16814,3151,104,483,"b","nan","act","nie","qnie","selact","not"
"212205","EVELYN","x","x","x","x","D",1688,1689,"John_Evelyn","1620","m","68","x","xxxx","x","xx","x",19614,6162,1816,157,3880,2305,642,48,85731,35899,10379,534,1342,"b","nan","act","nie","qnie","selact","not"
"212208","EVELYN","x","x","x","x","D",1688,1689,"John_Evelyn","1620","m","68","x","xxxx","x","xx","x",19614,6162,1816,157,3880,2305,642,48,85731,35899,10379,534,1342,"b","nan","act","nie","qnie","selact","not"
"212470","EVELYN","x","x","x","x","D",1688,1689,"John_Evelyn","1620","m","68","x","xxxx","x","xx","x",19614,6162,1816,157,3880,2305,642,48,85731,35899,10379,534,1342,"p","van","nan","nie","qnie","selpse","not"
"214797","FIENNES","x","x","x","x","T",1698,1698,"Celia_Fiennes","1662","f","36","x","xxxx","x","xx","x",16821,5426,573,11,2484,1628,308,6,67708,28473,3854,51,1053,"p","van","nan","nie","qnie","selpse","not"
"214877","FIENNES","x","x","x","x","T",1698,1698,"Celia_Fiennes","1662","f","36","x","xxxx","x","xx","x",16821,5426,573,11,2484,1628,308,6,67708,28473,3854,51,1053,"b","nan","act","nie","qnie","selact","not"
"215123","FISHER","x","x","x","x","R",1521,1521,"John_Fisher","1469","m","52","x","xxxx","x","xx","x",15774,3869,870,1165,2942,1431,153,648,68184,23264,5120,6557,766,"b","nan","act","nie","qnie","selact","not"
"215129","FISHER","x","x","x","x","R",1521,1521,"John_Fisher","1469","m","52","x","xxxx","x","xx","x",15774,3869,870,1165,2942,1431,153,648,68184,23264,5120,6557,766,"b","nan","act","nie","qnie","selact","not"
"215215","FISHER","x","x","x","x","R",1521,1521,"John_Fisher","1469","m","52","x","xxxx","x","xx","x",15774,3869,870,1165,2942,1431,153,648,68184,23264,5120,6557,766,"b","nan","act","nie","qnie","selact","not"
"215221","FISHER","x","x","x","x","R",1521,1521,"John_Fisher","1469","m","52","x","xxxx","x","xx","x",15774,3869,870,1165,2942,1431,153,648,68184,23264,5120,6557,766,"b","nan","act","pie","qnie","selact","not"
"215389","FISHER","x","x","x","x","R",1521,1521,"John_Fisher","1469","m","52","x","xxxx","x","xx","x",15774,3869,870,1165,2942,1431,153,648,68184,23264,5120,6557,766,"b","nan","act","nie","qnie","selact","not"
"216753","FORMAN","x","x","x","x","A",1602,1602,"Simon_Forman","1552","m","50","x","xxxx","x","xx","x",4295,1273,310,8,1096,652,139,7,17303,6955,1734,27,250,"b","nan","act","nie","qnie","selact","not"
"217579","FOX","x","x","x","x","A",1673,1674,"George_Fox","1624","m","49","x","xxxx","x","xx","x",18484,5149,998,4,2187,1344,402,2,72492,29299,6596,26,1170,"b","nan","act","nie","qnie","selact","not"
"217757","FOX","x","x","x","x","A",1673,1674,"George_Fox","1624","m","49","x","xxxx","x","xx","x",18484,5149,998,4,2187,1344,402,2,72492,29299,6596,26,1170,"b","nan","act","nie","qnie","selact","not"
"217855","FOX","x","x","x","x","A",1673,1674,"George_Fox","1624","m","49","x","xxxx","x","xx","x",18484,5149,998,4,2187,1344,402,2,72492,29299,6596,26,1170,"b","nan","act","nie","qnie","selact","not"
"218254","FRYER","x","x","x","x","T",1677,1681,"John_Fryer","1650","m","27","x","xxxx","x","xx","x",17152,5124,457,191,3789,2412,219,121,74762,30453,2757,1032,608,"b","nan","act","nie","qnie","selact","not"
"218474","FRYER","x","x","x","x","T",1677,1681,"John_Fryer","1650","m","27","x","xxxx","x","xx","x",17152,5124,457,191,3789,2412,219,121,74762,30453,2757,1032,608,"b","nan","act","nie","qnie","selact","not"
"218661","FRYER","x","x","x","x","T",1677,1681,"John_Fryer","1650","m","27","x","xxxx","x","xx","x",17152,5124,457,191,3789,2412,219,121,74762,30453,2757,1032,608,"b","nan","act","nie","qnie","selact","not"
"218860","GCROMW","x","x","x","x","l",1534,1534,"George_Cromwell","xxxx","m","xx","x","xxxx","x","xx","x",1282,372,69,1,525,267,47,1,5643,2312,431,3,56,"b","nan","act","nie","qnie","selact","not"
"218871","GCROMW","x","x","x","x","l",1534,1534,"George_Cromwell","xxxx","m","xx","x","xxxx","x","xx","x",1282,372,69,1,525,267,47,1,5643,2312,431,3,56,"b","nan","act","nie","qnie","selact","not"
"219114","GIFFORD","x","x","x","x","H",1593,1593,"George_Gifford","xxxx","m","xx","x","xxxx","x","xx","x",19793,5528,795,6,2332,1596,103,6,76840,30147,3478,38,1243,"b","nan","act","nie","qnie","selact","not"
"219225","GIFFORD","x","x","x","x","H",1593,1593,"George_Gifford","xxxx","m","xx","x","xxxx","x","xx","x",19793,5528,795,6,2332,1596,103,6,76840,30147,3478,38,1243,"b","nan","act","nie","qnie","selact","not"
"221160","HARMAN","x","x","x","x","F",1568,1568,"Thomas_Harman","xxxx","m","xx","x","xxxx","x","xx","x",16897,5305,147,36,3024,2069,102,11,68227,29096,900,160,1113,"b","nan","act","nie","qnie","selact","not"
"221605","HAYWARD","x","x","x","x","I",1612,1612,"John_Hayward","1564","m","48","x","xxxx","x","xx","x",17059,4940,777,2,3554,2254,354,2,78737,32035,5026,7,605,"b","nan","act","nie","qnie","selact","not"
"222226","HOBY","x","x","x","x","D",1600,1600,"Margaret_Hoby","1571","f","29","x","xxxx","x","xx","x",19273,7911,1228,5,1571,940,273,5,76682,40594,6181,19,2464,"b","nan","act","nie","qnie","selact","not"
"222867","HOBY","x","x","x","x","D",1600,1600,"Margaret_Hoby","1571","f","29","x","xxxx","x","xx","x",19273,7911,1228,5,1571,940,273,5,76682,40594,6181,19,2464,"b","nan","act","nie","qnie","selact","not"
"222879","HOBY","x","x","x","x","D",1600,1600,"Margaret_Hoby","1571","f","29","x","xxxx","x","xx","x",19273,7911,1228,5,1571,940,273,5,76682,40594,6181,19,2464,"b","nan","act","nie","qnie","selact","not"
"223371","HOOKE","x","x","x","x","C",1665,1665,"Robert_Hooke","1635","m","30","x","xxxx","x","xx","x",20597,6013,57,128,2812,1723,45,91,86584,34806,350,843,536,"b","nan","act","nie","qnie","selact","not"
"224122","HOOKER-A","x","x","x","x","R",1614,1614,"Richard_Hooker","1554","m","60","x","xxxx","x","xx","x",8371,2327,382,35,1749,1120,97,31,34829,13833,2071,198,349,"p","van","nan","nie","qnie","selpse","not"
"224135","HOOKER-A","x","x","x","x","R",1614,1614,"Richard_Hooker","1554","m","60","x","xxxx","x","xx","x",8371,2327,382,35,1749,1120,97,31,34829,13833,2071,198,349,"p","van","nan","nie","qnie","selpse","not"
"224433","HOOKER-B","x","x","x","x","R",1614,1614,"Richard_Hooker","1554","m","60","x","xxxx","x","xx","x",7810,2194,319,24,1656,1090,73,24,31943,12893,1531,146,415,"p","van","nan","nie","qnie","selpse","not"
"224496","HOOKER-B","x","x","x","x","R",1614,1614,"Richard_Hooker","1554","m","60","x","xxxx","x","xx","x",7810,2194,319,24,1656,1090,73,24,31943,12893,1531,146,415,"p","van","nan","nie","qnie","selpse","not"
"225514","HOXINDEN1660","x","x","x","x","l",1662,1663,"Henry_Oxinden","1608","m","54","Kathriine_Oxinden","1620","f","42","wife",3626,920,256,6,864,463,120,3,13722,4881,1498,19,232,"p","van","nan","nie","qnie","selpse","not"
"225541","HOXINDEN1660","x","x","x","x","l",1662,1663,"Henry_Oxinden","1608","m","54","Kathriine_Oxinden","1620","f","42","wife",3626,920,256,6,864,463,120,3,13722,4881,1498,19,232,"p","van","nan","nie","qnie","selpse","not"
"225574","HOXINDEN1660","x","x","x","x","l",1662,1663,"Henry_Oxinden","1608","m","54","Kathriine_Oxinden","1620","f","42","wife",3626,920,256,6,864,463,120,3,13722,4881,1498,19,232,"b","nan","act","nie","qnie","selact","not"
"225725","HOXINDEN1660","x","x","x","x","l",1662,1663,"Henry_Oxinden","1608","m","54","Kathriine_Oxinden","1620","f","42","wife",3626,920,256,6,864,463,120,3,13722,4881,1498,19,232,"b","nan","act","nie","qnie","selact","not"
"225773","HOXINDEN1660","x","x","x","x","l",1662,1663,"Henry_Oxinden","1608","m","54","Kathriine_Oxinden","1620","f","42","wife",3626,920,256,6,864,463,120,3,13722,4881,1498,19,232,"p","van","nan","nie","qnie","selpse","not"
"225775","HOXINDEN1660","x","x","x","x","l",1662,1663,"Henry_Oxinden","1608","m","54","Kathriine_Oxinden","1620","f","42","wife",3626,920,256,6,864,463,120,3,13722,4881,1498,19,232,"p","van","nan","nie","qnie","selpse","not"
"225969","HOXINDEN1660","x","x","x","x","l",1662,1663,"Henry_Oxinden","1608","m","54","Kathriine_Oxinden","1620","f","42","wife",3626,920,256,6,864,463,120,3,13722,4881,1498,19,232,"b","nan","act","nie","qnie","selact","not"
"226205","JBARRING","x","x","x","x","l",1629,1630,"John_Barrington","xxxx","m","xx","Joan_Barrington","xxxx","f","xx","mother",2820,783,142,0,712,405,58,0,11570,4619,857,0,133,"b","nan","act","nie","qnie","selact","not"
"226471","JETAYLOR","x","x","x","x","R",1673,1673,"Jeremy_Taylor","1613","m","60","x","xxxx","x","xx","x",11686,3312,259,383,2482,1428,125,306,49641,20442,1533,2151,661,"b","nan","act","nie","qnie","selact","not"
"226861","JETAYLOR","x","x","x","x","R",1673,1673,"Jeremy_Taylor","1613","m","60","x","xxxx","x","xx","x",11686,3312,259,383,2482,1428,125,306,49641,20442,1533,2151,661,"b","nan","act","nie","qnie","selact","not"
"227289","JOTAYLOR","x","x","x","x","T",1630,1630,"John_Taylor","1580","m","50","x","xxxx","x","xx","x",28110,8809,963,54,5084,3416,504,49,118426,50812,6498,361,1103,"b","nan","act","nie","qnie","selact","not"
"228277","JOTAYLOR","x","x","x","x","T",1630,1630,"John_Taylor","1580","m","50","x","xxxx","x","xx","x",28110,8809,963,54,5084,3416,504,49,118426,50812,6498,361,1103,"b","nan","act","nie","qnie","selact","not"
"228296","JOTAYLOR","x","x","x","x","T",1630,1630,"John_Taylor","1580","m","50","x","xxxx","x","xx","x",28110,8809,963,54,5084,3416,504,49,118426,50812,6498,361,1103,"b","nan","act","nie","qnie","selact","not"
"228664","KNYVETT1620","x","x","x","x","l",1624,1624,"Thomas_Knyvett","1596","m","28","Katherine_Knyvett","xxxx","f","xx","wife",7791,2137,425,8,1471,886,164,8,29716,11322,2400,38,562,"p","van","nan","nie","qnie","selpse","not"
"229304","LANGF","x","x","x","x","H",1696,1696,"T._Langford","xxxx","m","xx","x","xxxx","x","xx","x",19859,6152,78,14,2125,1402,33,4,78170,32588,461,49,905,"b","nan","act","nie","qnie","selact","not"
"229985","LATIMER","x","x","x","x","R",1549,1549,"Hugh_Latimer","1485","m","64","x","xxxx","x","xx","x",16099,4651,511,430,3179,1952,136,277,67190,27878,2814,2335,968,"p","van","nan","nie","qnie","selpse","not"
"231013","LELAND","x","x","x","x","T",1539,1543,"John_Leland","1506","m","33","x","xxxx","x","xx","x",21444,6523,2094,194,3264,1617,890,139,89620,34884,14468,1101,1291,"b","nan","act","nie","qnie","selact","not"
"231349","LELAND","x","x","x","x","T",1539,1543,"John_Leland","1506","m","33","x","xxxx","x","xx","x",21444,6523,2094,194,3264,1617,890,139,89620,34884,14468,1101,1291,"b","nan","act","nie","qnie","selact","not"
"231376","LELAND","x","x","x","x","T",1539,1543,"John_Leland","1506","m","33","x","xxxx","x","xx","x",21444,6523,2094,194,3264,1617,890,139,89620,34884,14468,1101,1291,"b","nan","act","nie","qnie","selact","not"
"231431","LISLE","x","x","x","x","t",1685,1685,"x","xxxx","x","xx","x","xxxx","x","xx","x",19919,6006,1140,0,1584,1057,97,0,73071,28198,6541,0,1584,"b","nan","act","nie","qnie","selact","not"
"231509","LISLE","x","x","x","x","t",1685,1685,"x","xxxx","x","xx","x","xxxx","x","xx","x",19919,6006,1140,0,1584,1057,97,0,73071,28198,6541,0,1584,"b","nan","act","nie","qnie","selact","not"
"231626","LISLE","x","x","x","x","t",1685,1685,"x","xxxx","x","xx","x","xxxx","x","xx","x",19919,6006,1140,0,1584,1057,97,0,73071,28198,6541,0,1584,"b","nan","act","nie","qnie","selact","not"
"231644","LISLE","x","x","x","x","t",1685,1685,"x","xxxx","x","xx","x","xxxx","x","xx","x",19919,6006,1140,0,1584,1057,97,0,73071,28198,6541,0,1584,"b","nan","act","nie","qnie","selact","not"
"231876","LISLE","x","x","x","x","t",1685,1685,"x","xxxx","x","xx","x","xxxx","x","xx","x",19919,6006,1140,0,1584,1057,97,0,73071,28198,6541,0,1584,"b","nan","act","nie","qnie","selact","not"
"232280","LISLE","x","x","x","x","t",1685,1685,"x","xxxx","x","xx","x","xxxx","x","xx","x",19919,6006,1140,0,1584,1057,97,0,73071,28198,6541,0,1584,"b","nan","act","nie","qnie","selact","not"
"233159","LOCKE","x","x","x","x","E",1685,1685,"John_Locke","1632","m","53","x","xxxx","x","xx","x",17440,4950,41,37,2475,1656,25,30,70517,28902,250,160,760,"b","nan","act","nie","qnie","selact","not"
"233165","LOCKE","x","x","x","x","E",1685,1685,"John_Locke","1632","m","53","x","xxxx","x","xx","x",17440,4950,41,37,2475,1656,25,30,70517,28902,250,160,760,"b","nan","act","nie","qnie","selact","not"
"233472","MACHYN","x","x","x","x","D",1536,1539,"Henry_Machyn","1498","m","38","x","xxxx","x","xx","x",21673,6772,2644,33,3524,1976,942,20,93070,36023,17097,152,1327,"b","nan","act","nie","qnie","selact","not"
"233996","MADOX","x","x","x","x","D",1582,1582,"Richard_Madox","1546","m","36","x","xxxx","x","xx","x",20920,6325,1910,93,4010,2403,808,70,81911,32048,10505,473,1412,"p","van","nan","nie","qnie","selpse","not"
"237143","MIDDLET","x","x","x","x","c",1630,1630,"Thomas_Middleton","1570","m","60","x","xxxx","x","xx","x",18468,6265,1298,199,2903,1924,155,113,72938,32016,5647,1053,2268,"p","van","nan","nie","qnie","selpse","not"
"237311","MIDDLET","x","x","x","x","c",1630,1630,"Thomas_Middleton","1570","m","60","x","xxxx","x","xx","x",18468,6265,1298,199,2903,1924,155,113,72938,32016,5647,1053,2268,"b","nan","act","nie","qnie","selact","not"
"237483","MIDDLET","x","x","x","x","c",1630,1630,"Thomas_Middleton","1570","m","60","x","xxxx","x","xx","x",18468,6265,1298,199,2903,1924,155,113,72938,32016,5647,1053,2268,"b","nan","act","nie","qnie","selact","not"
"238186","MILTON","x","x","x","x","I",1670,1670,"John_Milton","1608","m","62","x","xxxx","x","xx","x",19012,5498,1528,9,3521,2048,523,7,84959,32308,10363,44,635,"b","nan","act","nie","qnie","selact","not"
"238739","MORELET2","x","x","x","x","l",1534,1535,"Thomas_More","1477","m","57","x","xxxx","x","xx","x",8780,2588,227,63,1760,1057,90,52,35471,14982,1198,337,263,"b","nan","act","nie","qnie","selact","not"
"238836","MORELET2","x","x","x","x","l",1534,1535,"Thomas_More","1477","m","57","x","xxxx","x","xx","x",8780,2588,227,63,1760,1057,90,52,35471,14982,1198,337,263,"b","nan","act","nie","qnie","selact","not"
"239798","MORERIC","x","x","x","x","I",1513,1513,"Thomas_More","1477","m","36","x","xxxx","x","xx","x",19379,5950,381,1,3208,2178,149,1,80749,34566,2417,2,577,"b","nan","act","nie","qnie","selact","not"
"239815","MORERIC","x","x","x","x","I",1513,1513,"Thomas_More","1477","m","36","x","xxxx","x","xx","x",19379,5950,381,1,3208,2178,149,1,80749,34566,2417,2,577,"b","nan","act","nie","qnie","selact","not"
"240608","MOWNTAYNE","x","x","x","x","A",1555,1555,"Thomas_Mowntayne","xxxx","m","xx","x","xxxx","x","xx","x",13769,4094,535,9,2507,1551,245,7,54424,22160,3063,32,971,"b","nan","act","nie","qnie","selact","not"
"240737","MOWNTAYNE","x","x","x","x","A",1555,1555,"Thomas_Mowntayne","xxxx","m","xx","x","xxxx","x","xx","x",13769,4094,535,9,2507,1551,245,7,54424,22160,3063,32,971,"b","nan","act","nie","qnie","selact","not"
"240822","MOWNTAYNE","x","x","x","x","A",1555,1555,"Thomas_Mowntayne","xxxx","m","xx","x","xxxx","x","xx","x",13769,4094,535,9,2507,1551,245,7,54424,22160,3063,32,971,"b","nan","act","nie","qnie","selact","not"
"240940","MOWNTAYNE","x","x","x","x","A",1555,1555,"Thomas_Mowntayne","xxxx","m","xx","x","xxxx","x","xx","x",13769,4094,535,9,2507,1551,245,7,54424,22160,3063,32,971,"b","nan","act","nie","qnie","selact","not"
"241020","MOWNTAYNE","x","x","x","x","A",1555,1555,"Thomas_Mowntayne","xxxx","m","xx","x","xxxx","x","xx","x",13769,4094,535,9,2507,1551,245,7,54424,22160,3063,32,971,"b","nan","act","nie","qnie","selact","not"
"241260","MOWNTAYNE","x","x","x","x","A",1555,1555,"Thomas_Mowntayne","xxxx","m","xx","x","xxxx","x","xx","x",13769,4094,535,9,2507,1551,245,7,54424,22160,3063,32,971,"b","nan","act","nie","qnie","selact","not"
"241590","OATES","x","x","x","x","t",1685,1685,"x","xxxx","x","xx","x","xxxx","x","xx","x",25414,6913,3229,4,1537,876,260,4,95631,31861,19273,23,2067,"b","nan","act","nie","qnie","selact","not"
"241709","OATES","x","x","x","x","t",1685,1685,"x","xxxx","x","xx","x","xxxx","x","xx","x",25414,6913,3229,4,1537,876,260,4,95631,31861,19273,23,2067,"b","nan","act","nie","qnie","selact","not"
"241873","OATES","x","x","x","x","t",1685,1685,"x","xxxx","x","xx","x","xxxx","x","xx","x",25414,6913,3229,4,1537,876,260,4,95631,31861,19273,23,2067,"b","nan","act","nie","qnie","selact","not"
"242142","OATES","x","x","x","x","t",1685,1685,"x","xxxx","x","xx","x","xxxx","x","xx","x",25414,6913,3229,4,1537,876,260,4,95631,31861,19273,23,2067,"b","nan","act","nie","qnie","selact","not"
